,combiTyre,Train1,Train2,Train3,TimeT1,TimeT2,TimeT3,Total_time,TotalTimeStr
1,SSM,19,18,29,1614.1106858494784,1527.6600681172329,2475.974182471649,5549.824481892905,1:32:29.824
0,MH,32,34,0,2735.8533327143755,2925.2881003079788,0,5571.220978476899,1:32:51.220
