,combiTyre,Train1,Train2,Train3,TimeT1,TimeT2,TimeT3,Total_time,TotalTimeStr
1,MSS,21,18,18,2081.2448622116235,1769.8768154734744,1769.8768154734744,5558.814282632256,1:32:38.814
0,MS,33,24,0,3290.7253389767147,2376.0186792854793,0,5579.559807735878,1:32:59.559
