,combiTyre,Train1,Train2,Train3,TimeT1,TimeT2,TimeT3,Total_time,TotalTimeStr
1,MSS,24,16,17,2311.116939119208,1532.3547611884444,1629.2994054061,5410.586895187436,1:30:10.586
0,SM,22,35,0,2118.6599538056375,3384.751237626933,0,5416.2269809062545,1:30:16.226
