,combiTyre,Train1,Train2,Train3,TimeT1,TimeT2,TimeT3,Total_time,TotalTimeStr
0,MH,29,34,0,2460.281730309167,2894.5200516330697,0,5267.801781942237,1:27:47.801
1,SMM,14,24,25,1183.1243661109565,2032.4497728871609,2117.8027707415295,5271.376909739647,1:27:51.376
