,combiTyre,Train1,Train2,Train3,TimeT1,TimeT2,TimeT3,Total_time,TotalTimeStr
1,SMM,17,26,27,1334.9965298973846,2049.8988443588664,2129.8424924047686,5450.9128666610195,1:30:50.912
0,MH,30,40,0,2370.72886954385,3171.864161645403,0,5454.768031189254,1:30:54.768
