,Time,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,LapStartTime,Team,Driver,TrackStatus,IsAccurate,LapStartDate,Session
1,0 days 00:18:36.964000,1,0 days 00:01:17.991000,2,1,,,0 days 00:00:21.914000,0 days 00:00:25.032000,0 days 00:00:31.045000,0 days 00:17:40.887000,0 days 00:18:05.919000,0 days 00:18:36.964000,250.0,277.0,276.0,324.0,False,MEDIUM,2.0,True,0 days 00:17:18.973000,Red Bull Racing,VER,1,True,2022-06-17 18:02:20.584000,Practice 1
3,0 days 00:21:31.634000,1,0 days 00:01:16.507000,4,1,,,0 days 00:00:21.618000,0 days 00:00:24.548000,0 days 00:00:30.341000,0 days 00:20:36.745000,0 days 00:21:01.293000,0 days 00:21:31.634000,253.0,279.0,289.0,324.0,False,MEDIUM,4.0,True,0 days 00:20:15.127000,Red Bull Racing,VER,1,True,2022-06-17 18:05:16.738000,Practice 1
5,0 days 00:24:27.341000,1,0 days 00:01:15.799000,6,1,,,0 days 00:00:21.244000,0 days 00:00:24.431000,0 days 00:00:30.124000,0 days 00:23:32.786000,0 days 00:23:57.217000,0 days 00:24:27.341000,254.0,280.0,290.0,326.0,False,MEDIUM,6.0,True,0 days 00:23:11.542000,Red Bull Racing,VER,1,True,2022-06-17 18:08:13.153000,Practice 1
7,0 days 00:27:40.097000,1,0 days 00:01:15.703000,8,1,,,0 days 00:00:21.186000,0 days 00:00:24.329000,0 days 00:00:30.188000,0 days 00:26:45.580000,0 days 00:27:09.909000,0 days 00:27:40.097000,255.0,280.0,291.0,326.0,False,MEDIUM,8.0,True,0 days 00:26:24.394000,Red Bull Racing,VER,1,True,2022-06-17 18:11:26.005000,Practice 1
11,0 days 00:51:20.341000,1,0 days 00:01:15.158000,12,3,,,0 days 00:00:20.881000,0 days 00:00:24.303000,0 days 00:00:29.974000,0 days 00:50:26.064000,0 days 00:50:50.367000,0 days 00:51:20.341000,253.0,279.0,290.0,324.0,True,SOFT,4.0,False,0 days 00:50:05.183000,Red Bull Racing,VER,1,True,2022-06-17 18:35:06.794000,Practice 1
15,0 days 01:03:03.616000,1,0 days 00:01:18.473000,16,5,,,0 days 00:00:21.946000,0 days 00:00:25.148000,0 days 00:00:31.379000,0 days 01:02:07.089000,0 days 01:02:32.237000,0 days 01:03:03.616000,246.0,272.0,267.0,302.0,False,MEDIUM,13.0,,0 days 01:01:45.143000,Red Bull Racing,VER,1,True,2022-06-17 18:46:46.754000,Practice 1
16,0 days 01:04:22.565000,1,0 days 00:01:18.949000,17,5,,,0 days 00:00:22.053000,0 days 00:00:25.030000,0 days 00:00:31.866000,0 days 01:03:25.669000,0 days 01:03:50.699000,0 days 01:04:22.565000,243.0,269.0,270.0,295.0,False,MEDIUM,14.0,,0 days 01:03:03.616000,Red Bull Racing,VER,1,True,2022-06-17 18:48:05.227000,Practice 1
17,0 days 01:05:40.975000,1,0 days 00:01:18.410000,18,5,,,0 days 00:00:21.928000,0 days 00:00:25.172000,0 days 00:00:31.310000,0 days 01:04:44.493000,0 days 01:05:09.665000,0 days 01:05:40.975000,245.0,276.0,274.0,303.0,False,MEDIUM,15.0,,0 days 01:04:22.565000,Red Bull Racing,VER,1,True,2022-06-17 18:49:24.176000,Practice 1
18,0 days 01:06:59.486000,1,0 days 00:01:18.511000,19,5,,,0 days 00:00:22.066000,0 days 00:00:25.192000,0 days 00:00:31.253000,0 days 01:06:03.041000,0 days 01:06:28.233000,0 days 01:06:59.486000,244.0,272.0,275.0,305.0,False,MEDIUM,16.0,,0 days 01:05:40.975000,Red Bull Racing,VER,1,True,2022-06-17 18:50:42.586000,Practice 1
19,0 days 01:08:18.082000,1,0 days 00:01:18.596000,20,5,,,0 days 00:00:21.928000,0 days 00:00:25.280000,0 days 00:00:31.388000,0 days 01:07:21.414000,0 days 01:07:46.694000,0 days 01:08:18.082000,245.0,268.0,265.0,304.0,False,MEDIUM,17.0,,0 days 01:06:59.486000,Red Bull Racing,VER,1,True,2022-06-17 18:52:01.097000,Practice 1
