,combiTyre,Train1,Train2,Train3,TimeT1,TimeT2,TimeT3,Total_time,TotalTimeStr
1,MSS,21,18,18,2083.146246894459,1770.9245264912604,1770.9245264912604,5562.811089350665,1:32:42.811
0,SH,21,36,0,2072.8209031441934,3604.226035881148,0,5589.862728499026,1:33:09.862
