,Time,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,LapStartTime,Team,Driver,TrackStatus,IsAccurate,LapStartDate,Session
1,0 days 00:20:41.961000,1,0 days 00:01:23.101000,2,1,,,0 days 00:00:28.876000,0 days 00:00:18.538000,0 days 00:00:35.687000,0 days 00:19:47.736000,0 days 00:20:06.274000,0 days 00:20:41.961000,274.0,317.0,295.0,241.0,False,SOFT,2.0,True,0 days 00:19:18.860000,Red Bull Racing,VER,1,True,2022-04-08 03:04:18.874000,Practice 1
3,0 days 00:24:30.686000,1,0 days 00:01:21.625000,4,1,,,0 days 00:00:28.392000,0 days 00:00:18.278000,0 days 00:00:34.955000,0 days 00:23:37.453000,0 days 00:23:55.731000,0 days 00:24:30.686000,277.0,321.0,304.0,254.0,False,SOFT,4.0,True,0 days 00:23:09.061000,Red Bull Racing,VER,1,True,2022-04-08 03:08:09.075000,Practice 1
6,0 days 00:30:29.448000,1,0 days 00:01:21.140000,7,2,,,0 days 00:00:28.127000,0 days 00:00:18.255000,0 days 00:00:34.758000,0 days 00:29:36.435000,0 days 00:29:54.690000,0 days 00:30:29.448000,276.0,318.0,297.0,256.0,False,SOFT,8.0,False,0 days 00:29:08.308000,Red Bull Racing,VER,1,True,2022-04-08 03:14:08.322000,Practice 1
8,0 days 00:34:06.433000,1,0 days 00:01:20.909000,9,2,,,0 days 00:00:28.092000,0 days 00:00:18.067000,0 days 00:00:34.750000,0 days 00:33:13.616000,0 days 00:33:31.683000,0 days 00:34:06.433000,278.0,321.0,300.0,273.0,False,SOFT,10.0,False,0 days 00:32:45.524000,Red Bull Racing,VER,1,True,2022-04-08 03:17:45.538000,Practice 1
11,0 days 00:48:16.155000,1,0 days 00:01:20.857000,12,3,,,0 days 00:00:27.971000,0 days 00:00:18.081000,0 days 00:00:34.805000,0 days 00:47:23.269000,0 days 00:47:41.350000,0 days 00:48:16.155000,279.0,321.0,300.0,229.0,False,SOFT,3.0,True,0 days 00:46:55.298000,Red Bull Racing,VER,1,True,2022-04-08 03:31:55.312000,Practice 1
13,0 days 00:51:59.516000,1,0 days 00:01:20.626000,14,3,,,0 days 00:00:27.903000,0 days 00:00:18.071000,0 days 00:00:34.652000,0 days 00:51:06.793000,0 days 00:51:24.864000,0 days 00:51:59.516000,277.0,320.0,299.0,238.0,True,SOFT,5.0,True,0 days 00:50:38.890000,Red Bull Racing,VER,1,True,2022-04-08 03:35:38.904000,Practice 1
16,0 days 01:08:03.820000,1,0 days 00:01:24.602000,17,4,,,0 days 00:00:29.443000,0 days 00:00:18.761000,0 days 00:00:36.398000,0 days 01:07:08.661000,0 days 01:07:27.422000,0 days 01:08:03.820000,267.0,303.0,284.0,286.0,False,SOFT,8.0,False,0 days 01:06:39.218000,Red Bull Racing,VER,1,True,2022-04-08 03:51:39.232000,Practice 1
17,0 days 01:09:28.234000,1,0 days 00:01:24.414000,18,4,,,0 days 00:00:29.363000,0 days 00:00:18.714000,0 days 00:00:36.337000,0 days 01:08:33.183000,0 days 01:08:51.897000,0 days 01:09:28.234000,266.0,303.0,286.0,289.0,False,SOFT,9.0,False,0 days 01:08:03.820000,Red Bull Racing,VER,1,True,2022-04-08 03:53:03.834000,Practice 1
19,0 days 01:12:19.888000,1,0 days 00:01:24.994000,20,4,,,0 days 00:00:29.632000,0 days 00:00:18.794000,0 days 00:00:36.568000,0 days 01:11:24.526000,0 days 01:11:43.320000,0 days 01:12:19.888000,,301.0,284.0,288.0,False,SOFT,11.0,False,0 days 01:10:54.894000,Red Bull Racing,VER,1,True,2022-04-08 03:55:54.908000,Practice 1
20,0 days 01:13:44.974000,1,0 days 00:01:25.086000,21,4,,,0 days 00:00:29.700000,0 days 00:00:18.747000,0 days 00:00:36.639000,0 days 01:12:49.588000,0 days 01:13:08.335000,0 days 01:13:44.974000,,302.0,284.0,290.0,False,SOFT,12.0,False,0 days 01:12:19.888000,Red Bull Racing,VER,1,True,2022-04-08 03:57:19.902000,Practice 1
23,0 days 00:28:55.260000,55,0 days 00:01:25.368000,2,1,,,0 days 00:00:29.829000,0 days 00:00:19.159000,0 days 00:00:36.380000,0 days 00:27:59.721000,0 days 00:28:18.880000,0 days 00:28:55.260000,267.0,286.0,279.0,,False,HARD,2.0,True,0 days 00:27:29.892000,Ferrari,SAI,1,True,2022-04-08 03:12:29.906000,Practice 1
24,0 days 00:30:19.058000,55,0 days 00:01:23.798000,3,1,,,0 days 00:00:29.152000,0 days 00:00:18.939000,0 days 00:00:35.707000,0 days 00:29:24.412000,0 days 00:29:43.351000,0 days 00:30:19.058000,,281.0,279.0,,False,HARD,3.0,True,0 days 00:28:55.260000,Ferrari,SAI,1,True,2022-04-08 03:13:55.274000,Practice 1
27,0 days 00:35:38.751000,55,0 days 00:01:22.593000,6,2,,,0 days 00:00:28.751000,0 days 00:00:18.689000,0 days 00:00:35.153000,0 days 00:34:44.909000,0 days 00:35:03.598000,0 days 00:35:38.751000,271.0,287.0,290.0,295.0,False,HARD,7.0,False,0 days 00:34:16.158000,Ferrari,SAI,1,True,2022-04-08 03:19:16.172000,Practice 1
31,0 days 00:42:50.301000,55,0 days 00:01:21.249000,10,3,,,0 days 00:00:28.303000,0 days 00:00:18.380000,0 days 00:00:34.566000,0 days 00:41:57.355000,0 days 00:42:15.735000,0 days 00:42:50.301000,271.0,306.0,294.0,311.0,False,HARD,11.0,False,0 days 00:41:29.052000,Ferrari,SAI,1,True,2022-04-08 03:26:29.066000,Practice 1
34,0 days 00:52:43.883000,55,0 days 00:01:20.325000,13,4,,,0 days 00:00:27.729000,0 days 00:00:18.217000,0 days 00:00:34.379000,0 days 00:51:51.287000,0 days 00:52:09.504000,0 days 00:52:43.883000,272.0,312.0,297.0,198.0,False,SOFT,,True,0 days 00:51:23.558000,Ferrari,SAI,2,True,2022-04-08 03:36:23.572000,Practice 1
37,0 days 00:58:30.329000,55,0 days 00:01:19.806000,16,5,,,0 days 00:00:27.783000,0 days 00:00:18.165000,0 days 00:00:33.858000,0 days 00:57:38.306000,0 days 00:57:56.471000,0 days 00:58:30.329000,272.0,308.0,296.0,191.0,True,SOFT,6.0,False,0 days 00:57:10.523000,Ferrari,SAI,1,True,2022-04-08 03:42:10.537000,Practice 1
40,0 days 01:10:28.894000,55,0 days 00:01:24.245000,19,6,,,0 days 00:00:29.347000,0 days 00:00:19.020000,0 days 00:00:35.878000,0 days 01:09:33.996000,0 days 01:09:53.016000,0 days 01:10:28.894000,266.0,286.0,279.0,282.0,False,HARD,14.0,False,0 days 01:09:04.649000,Ferrari,SAI,1,True,2022-04-08 03:54:04.663000,Practice 1
41,0 days 01:11:53.419000,55,0 days 00:01:24.525000,20,6,,,0 days 00:00:29.693000,0 days 00:00:18.982000,0 days 00:00:35.850000,0 days 01:10:58.587000,0 days 01:11:17.569000,0 days 01:11:53.419000,265.0,285.0,279.0,287.0,False,HARD,15.0,False,0 days 01:10:28.894000,Ferrari,SAI,1,True,2022-04-08 03:55:28.908000,Practice 1
