,combiTyre,Train1,Train2,Train3,TimeT1,TimeT2,TimeT3,Total_time,TotalTimeStr
1,MMS,25,24,17,2133.5147081452824,2047.3233510482846,1442.3134844428387,5555.231089090951,1:32:35.231
0,MH,30,36,0,2566.8192484664182,3099.0853041511814,0,5575.984098072145,1:32:55.984
