,combiTyre,Train1,Train2,Train3,TimeT1,TimeT2,TimeT3,Total_time,TotalTimeStr
0,MH,27,36,0,2291.713619352769,3066.507370260101,0,5271.22098961287,1:27:51.220
1,SMM,15,24,24,1269.018739368033,2034.3364940862311,2034.3364940862311,5275.691727540496,1:27:55.691
