,Time,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,LapStartTime,Team,Driver,TrackStatus,IsAccurate,LapStartDate,Session
1,0 days 00:20:04.061000,1,0 days 00:01:36.099000,2,1,,,0 days 00:00:33.258000,0 days 00:00:36.295000,0 days 00:00:26.546000,0 days 00:19:01.220000,0 days 00:19:37.515000,0 days 00:20:04.061000,206.0,176.0,277.0,315.0,False,SOFT,2.0,True,0 days 00:18:27.962000,Red Bull Racing,VER,1,True,2022-05-06 18:33:28.137000,Practice 1
3,0 days 00:23:20.893000,1,0 days 00:01:33.449000,4,1,,,0 days 00:00:31.897000,0 days 00:00:35.663000,0 days 00:00:25.889000,0 days 00:22:19.341000,0 days 00:22:55.004000,0 days 00:23:20.893000,209.0,183.0,282.0,292.0,False,SOFT,4.0,True,0 days 00:21:47.444000,Red Bull Racing,VER,2,True,2022-05-06 18:36:47.619000,Practice 1
6,0 days 00:35:35.585000,1,0 days 00:01:33.193000,7,2,,,0 days 00:00:31.227000,0 days 00:00:36.078000,0 days 00:00:25.888000,0 days 00:34:33.619000,0 days 00:35:09.697000,0 days 00:35:35.585000,213.0,182.0,279.0,332.0,False,SOFT,8.0,,0 days 00:34:02.392000,Red Bull Racing,VER,1,True,2022-05-06 18:49:02.567000,Practice 1
10,0 days 01:03:58.334000,1,0 days 00:01:31.350000,11,3,,,0 days 00:00:30.590000,0 days 00:00:35.158000,0 days 00:00:25.602000,0 days 01:02:57.574000,0 days 01:03:32.732000,0 days 01:03:58.334000,218.0,186.0,282.0,331.0,False,SOFT,3.0,True,0 days 01:02:26.984000,Red Bull Racing,VER,1,True,2022-05-06 19:17:27.159000,Practice 1
12,0 days 01:07:23.184000,1,0 days 00:01:31.277000,13,3,,,0 days 00:00:30.343000,0 days 00:00:35.406000,0 days 00:00:25.528000,0 days 01:06:22.250000,0 days 01:06:57.656000,0 days 01:07:23.184000,215.0,185.0,280.0,335.0,True,SOFT,5.0,True,0 days 01:05:51.907000,Red Bull Racing,VER,1,True,2022-05-06 19:20:52.082000,Practice 1
15,0 days 00:19:43.518000,55,0 days 00:01:37.329000,2,1,,,0 days 00:00:33.357000,0 days 00:00:37.104000,0 days 00:00:26.868000,0 days 00:18:39.546000,0 days 00:19:16.650000,0 days 00:19:43.518000,211.0,179.0,272.0,300.0,False,MEDIUM,2.0,True,0 days 00:18:06.189000,Ferrari,SAI,1,True,2022-05-06 18:33:06.364000,Practice 1
18,0 days 00:24:45.337000,55,0 days 00:01:34.238000,5,1,,,0 days 00:00:31.559000,0 days 00:00:36.173000,0 days 00:00:26.506000,0 days 00:23:42.658000,0 days 00:24:18.831000,0 days 00:24:45.337000,212.0,181.0,276.0,316.0,False,MEDIUM,5.0,True,0 days 00:23:11.099000,Ferrari,SAI,1,True,2022-05-06 18:38:11.274000,Practice 1
20,0 days 00:28:38.934000,55,0 days 00:01:33.163000,7,1,,,0 days 00:00:31.069000,0 days 00:00:36.035000,0 days 00:00:26.059000,0 days 00:27:36.840000,0 days 00:28:12.875000,0 days 00:28:38.934000,216.0,184.0,277.0,323.0,False,MEDIUM,7.0,True,0 days 00:27:05.771000,Ferrari,SAI,1,True,2022-05-06 18:42:05.946000,Practice 1
25,0 days 00:38:21.991000,55,0 days 00:01:32.679000,12,2,,,0 days 00:00:30.658000,0 days 00:00:35.985000,0 days 00:00:26.036000,0 days 00:37:19.970000,0 days 00:37:55.955000,0 days 00:38:21.991000,215.0,184.0,273.0,321.0,False,MEDIUM,13.0,False,0 days 00:36:49.312000,Ferrari,SAI,1,True,2022-05-06 18:51:49.487000,Practice 1
27,0 days 00:42:13.140000,55,0 days 00:01:32.443000,14,2,,,0 days 00:00:30.583000,0 days 00:00:35.740000,0 days 00:00:26.120000,0 days 00:41:11.280000,0 days 00:41:47.020000,0 days 00:42:13.140000,216.0,185.0,276.0,318.0,False,MEDIUM,15.0,False,0 days 00:40:40.697000,Ferrari,SAI,1,True,2022-05-06 18:55:40.872000,Practice 1
