,Time,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,LapStartTime,Team,Driver,TrackStatus,IsAccurate,LapStartDate,Session
10,0 days 00:59:00.399000,1,0 days 00:01:33.847000,11,3,,,0 days 00:00:29.808000,0 days 00:00:32.178000,0 days 00:00:31.861000,0 days 00:57:56.360000,0 days 00:58:28.538000,0 days 00:59:00.399000,183.0,243.0,261.0,258.0,False,INTERMEDIATE,3.0,True,0 days 00:57:26.552000,Red Bull Racing,VER,1,True,2022-04-22 12:12:26.564000,Practice 1
12,0 days 01:02:17.194000,1,0 days 00:01:32.130000,13,3,,,0 days 00:00:29.227000,0 days 00:00:31.616000,0 days 00:00:31.287000,0 days 01:01:14.291000,0 days 01:01:45.907000,0 days 01:02:17.194000,192.0,240.0,264.0,273.0,False,INTERMEDIATE,5.0,True,0 days 01:00:45.064000,Red Bull Racing,VER,1,True,2022-04-22 12:15:45.076000,Practice 1
14,0 days 01:05:31.429000,1,0 days 00:01:33.904000,15,3,,,0 days 00:00:28.858000,0 days 00:00:31.296000,0 days 00:00:33.750000,0 days 01:04:26.383000,0 days 01:04:57.679000,0 days 01:05:31.429000,196.0,247.0,263.0,260.0,False,INTERMEDIATE,7.0,True,0 days 01:03:57.525000,Red Bull Racing,VER,1,True,2022-04-22 12:18:57.537000,Practice 1
15,0 days 01:07:02.860000,1,0 days 00:01:31.431000,16,3,,,0 days 00:00:28.588000,0 days 00:00:31.649000,0 days 00:00:31.194000,0 days 01:06:00.017000,0 days 01:06:31.666000,0 days 01:07:02.860000,199.0,241.0,269.0,263.0,False,INTERMEDIATE,8.0,True,0 days 01:05:31.429000,Red Bull Racing,VER,1,True,2022-04-22 12:20:31.441000,Practice 1
16,0 days 01:08:33.727000,1,0 days 00:01:30.867000,17,3,,,0 days 00:00:28.524000,0 days 00:00:31.092000,0 days 00:00:31.251000,0 days 01:07:31.384000,0 days 01:08:02.476000,0 days 01:08:33.727000,194.0,250.0,266.0,288.0,True,INTERMEDIATE,9.0,True,0 days 01:07:02.860000,Red Bull Racing,VER,1,True,2022-04-22 12:22:02.872000,Practice 1
32,0 days 00:54:41.089000,55,0 days 00:01:33.716000,12,3,,,0 days 00:00:30.169000,0 days 00:00:31.876000,0 days 00:00:31.671000,0 days 00:53:37.542000,0 days 00:54:09.418000,0 days 00:54:41.089000,193.0,246.0,263.0,270.0,False,INTERMEDIATE,3.0,True,0 days 00:53:07.373000,Ferrari,SAI,2,True,2022-04-22 12:08:07.385000,Practice 1
33,0 days 00:56:13.695000,55,0 days 00:01:32.606000,13,3,,,0 days 00:00:29.754000,0 days 00:00:31.652000,0 days 00:00:31.200000,0 days 00:55:10.843000,0 days 00:55:42.495000,0 days 00:56:13.695000,196.0,244.0,269.0,279.0,False,INTERMEDIATE,4.0,True,0 days 00:54:41.089000,Ferrari,SAI,2,True,2022-04-22 12:09:41.101000,Practice 1
36,0 days 01:01:04.161000,55,0 days 00:01:30.803000,16,3,,,0 days 00:00:28.857000,0 days 00:00:31.091000,0 days 00:00:30.855000,0 days 01:00:02.215000,0 days 01:00:33.306000,0 days 01:01:04.161000,201.0,252.0,270.0,284.0,False,INTERMEDIATE,7.0,True,0 days 00:59:33.358000,Ferrari,SAI,2,True,2022-04-22 12:14:33.370000,Practice 1
38,0 days 01:04:23.305000,55,0 days 00:01:30.279000,18,3,,,0 days 00:00:28.999000,0 days 00:00:30.798000,0 days 00:00:30.482000,0 days 01:03:22.025000,0 days 01:03:52.823000,0 days 01:04:23.305000,197.0,251.0,264.0,288.0,True,INTERMEDIATE,9.0,True,0 days 01:02:53.026000,Ferrari,SAI,1,True,2022-04-22 12:17:53.038000,Practice 1
40,0 days 01:07:37.483000,55,0 days 00:01:30.706000,20,3,,,0 days 00:00:28.961000,0 days 00:00:30.847000,0 days 00:00:30.898000,0 days 01:06:35.738000,0 days 01:07:06.585000,0 days 01:07:37.483000,191.0,249.0,266.0,288.0,False,INTERMEDIATE,11.0,True,0 days 01:06:06.777000,Ferrari,SAI,1,True,2022-04-22 12:21:06.789000,Practice 1
