,combiTyre,Train1,Train2,Train3,TimeT1,TimeT2,TimeT3,Total_time,TotalTimeStr
1,MSS,19,16,15,1832.4576737341245,1532.5020490671936,1435.2692831676272,4729.774005968946,1:18:49.774
0,SH,18,32,0,1728.0971216736273,3100.4640089046584,0,4737.106130578286,1:18:57.106
