,Time,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,LapStartTime,Team,Driver,TrackStatus,IsAccurate,LapStartDate,Session
1,0 days 00:19:11.641000,1,0 days 00:01:23.163000,2,1,,,0 days 00:00:23.298000,0 days 00:00:31.115000,0 days 00:00:28.750000,0 days 00:18:11.776000,0 days 00:18:42.891000,0 days 00:19:11.641000,277.0,283.0,280.0,317.0,False,HARD,,True,0 days 00:17:48.478000,Red Bull Racing,VER,1,True,2022-05-20 12:02:48.489000,Practice 1
3,0 days 00:22:30.611000,1,0 days 00:01:22.693000,4,1,,,0 days 00:00:23.075000,0 days 00:00:31.268000,0 days 00:00:28.350000,0 days 00:21:30.993000,0 days 00:22:02.261000,0 days 00:22:30.611000,278.0,292.0,281.0,322.0,False,HARD,,True,0 days 00:21:07.918000,Red Bull Racing,VER,1,True,2022-05-20 12:06:07.929000,Practice 1
5,0 days 00:25:47.244000,1,0 days 00:01:22.394000,6,1,,,0 days 00:00:22.997000,0 days 00:00:31.003000,0 days 00:00:28.394000,0 days 00:24:47.847000,0 days 00:25:18.850000,0 days 00:25:47.244000,281.0,293.0,276.0,322.0,False,HARD,,True,0 days 00:24:24.850000,Red Bull Racing,VER,1,True,2022-05-20 12:09:24.861000,Practice 1
8,0 days 00:31:24.892000,1,0 days 00:01:22.143000,9,2,,,0 days 00:00:22.746000,0 days 00:00:30.949000,0 days 00:00:28.448000,0 days 00:30:25.495000,0 days 00:30:56.444000,0 days 00:31:24.892000,281.0,294.0,282.0,324.0,False,HARD,10.0,False,0 days 00:30:02.749000,Red Bull Racing,VER,1,True,2022-05-20 12:15:02.760000,Practice 1
10,0 days 00:34:42.202000,1,0 days 00:01:21.876000,11,2,,,0 days 00:00:22.786000,0 days 00:00:30.710000,0 days 00:00:28.380000,0 days 00:33:43.112000,0 days 00:34:13.822000,0 days 00:34:42.202000,283.0,297.0,282.0,322.0,False,HARD,12.0,False,0 days 00:33:20.326000,Red Bull Racing,VER,1,True,2022-05-20 12:18:20.337000,Practice 1
13,0 days 00:50:36.307000,1,0 days 00:01:20.164000,14,3,,,0 days 00:00:22.289000,0 days 00:00:30.034000,0 days 00:00:27.841000,0 days 00:49:38.432000,0 days 00:50:08.466000,0 days 00:50:36.307000,283.0,297.0,276.0,321.0,True,SOFT,3.0,True,0 days 00:49:16.143000,Red Bull Racing,VER,1,True,2022-05-20 12:34:16.154000,Practice 1
16,0 days 00:55:58.191000,1,0 days 00:01:20.205000,17,4,,,0 days 00:00:22.454000,0 days 00:00:30.088000,0 days 00:00:27.663000,0 days 00:55:00.440000,0 days 00:55:30.528000,0 days 00:55:58.191000,284.0,303.0,278.0,324.0,False,SOFT,6.0,False,0 days 00:54:37.986000,Red Bull Racing,VER,1,True,2022-05-20 12:39:37.997000,Practice 1
21,0 days 01:10:05.743000,1,0 days 00:01:25.325000,22,5,,,0 days 00:00:23.906000,0 days 00:00:32.034000,0 days 00:00:29.385000,0 days 01:09:04.324000,0 days 01:09:36.358000,0 days 01:10:05.743000,272.0,273.0,269.0,,False,SOFT,11.0,False,0 days 01:08:40.418000,Red Bull Racing,VER,1,True,2022-05-20 12:53:40.429000,Practice 1
29,0 days 00:18:59.321000,63,0 days 00:01:25.342000,2,1,,,0 days 00:00:24.101000,0 days 00:00:31.972000,0 days 00:00:29.269000,0 days 00:17:58.080000,0 days 00:18:30.052000,0 days 00:18:59.321000,261.0,263.0,280.0,294.0,False,HARD,2.0,True,0 days 00:17:33.979000,Mercedes,RUS,1,True,2022-05-20 12:02:33.990000,Practice 1
30,0 days 00:20:23.502000,63,0 days 00:01:24.181000,3,1,,,0 days 00:00:23.409000,0 days 00:00:31.784000,0 days 00:00:28.988000,0 days 00:19:22.730000,0 days 00:19:54.514000,0 days 00:20:23.502000,260.0,275.0,270.0,324.0,False,HARD,3.0,True,0 days 00:18:59.321000,Mercedes,RUS,1,True,2022-05-20 12:03:59.332000,Practice 1
