,Time,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,LapStartTime,Team,Driver,TrackStatus,IsAccurate,LapStartDate,Session
4,0 days 00:22:09.009000,1,0 days 00:01:16.582000,5,1,,,0 days 00:00:20.385000,0 days 00:00:35.750000,0 days 00:00:20.447000,0 days 00:21:12.812000,0 days 00:21:48.562000,0 days 00:22:09.009000,201.0,189.0,254.0,276.0,False,HARD,5.0,True,0 days 00:20:52.427000,Red Bull Racing,VER,1,True,2022-05-27 12:05:53.361000,Practice 1
6,0 days 00:24:51.744000,1,0 days 00:01:16.276000,7,1,,,0 days 00:00:19.989000,0 days 00:00:35.947000,0 days 00:00:20.340000,0 days 00:23:55.457000,0 days 00:24:31.404000,0 days 00:24:51.744000,205.0,191.0,262.0,275.0,False,HARD,7.0,True,0 days 00:23:35.468000,Red Bull Racing,VER,1,True,2022-05-27 12:08:36.402000,Practice 1
8,0 days 00:27:53.573000,1,0 days 00:01:15.933000,9,1,,,0 days 00:00:19.961000,0 days 00:00:35.489000,0 days 00:00:20.483000,0 days 00:26:57.601000,0 days 00:27:33.090000,0 days 00:27:53.573000,207.0,194.0,262.0,279.0,False,HARD,9.0,True,0 days 00:26:37.640000,Red Bull Racing,VER,1,True,2022-05-27 12:11:38.574000,Practice 1
10,0 days 00:30:47.548000,1,0 days 00:01:15.327000,11,1,,,0 days 00:00:19.812000,0 days 00:00:35.364000,0 days 00:00:20.151000,0 days 00:29:52.033000,0 days 00:30:27.397000,0 days 00:30:47.548000,205.0,195.0,263.0,278.0,False,HARD,11.0,True,0 days 00:29:32.221000,Red Bull Racing,VER,2,True,2022-05-27 12:14:33.155000,Practice 1
15,0 days 00:45:24.814000,1,0 days 00:01:16.005000,16,2,,,0 days 00:00:20.175000,0 days 00:00:35.477000,0 days 00:00:20.353000,0 days 00:44:28.984000,0 days 00:45:04.461000,0 days 00:45:24.814000,207.0,190.0,263.0,277.0,False,HARD,17.0,False,0 days 00:44:08.809000,Red Bull Racing,VER,1,True,2022-05-27 12:29:09.743000,Practice 1
17,0 days 00:48:19.013000,1,0 days 00:01:15.605000,18,2,,,0 days 00:00:19.863000,0 days 00:00:35.486000,0 days 00:00:20.256000,0 days 00:47:23.271000,0 days 00:47:58.757000,0 days 00:48:19.013000,207.0,192.0,263.0,277.0,False,HARD,19.0,False,0 days 00:47:03.408000,Red Bull Racing,VER,1,True,2022-05-27 12:32:04.342000,Practice 1
20,0 days 00:56:54.250000,1,0 days 00:01:14.712000,21,3,,,0 days 00:00:19.789000,0 days 00:00:35.063000,0 days 00:00:19.860000,0 days 00:55:59.327000,0 days 00:56:34.390000,0 days 00:56:54.250000,205.0,194.0,264.0,275.0,True,MEDIUM,,True,0 days 00:55:39.538000,Red Bull Racing,VER,1,True,2022-05-27 12:40:40.472000,Practice 1
29,0 days 00:20:57.099000,55,0 days 00:01:17.252000,4,1,,,0 days 00:00:20.436000,0 days 00:00:36.099000,0 days 00:00:20.717000,0 days 00:20:00.283000,0 days 00:20:36.382000,0 days 00:20:57.099000,195.0,191.0,261.0,274.0,False,MEDIUM,4.0,True,0 days 00:19:39.847000,Ferrari,SAI,1,True,2022-05-27 12:04:40.781000,Practice 1
31,0 days 00:24:00.209000,55,0 days 00:01:16.572000,6,1,,,0 days 00:00:20.351000,0 days 00:00:35.748000,0 days 00:00:20.473000,0 days 00:23:03.988000,0 days 00:23:39.736000,0 days 00:24:00.209000,199.0,196.0,261.0,274.0,False,MEDIUM,6.0,True,0 days 00:22:43.637000,Ferrari,SAI,1,True,2022-05-27 12:07:44.571000,Practice 1
32,0 days 00:25:16.229000,55,0 days 00:01:16.020000,7,1,,,0 days 00:00:19.974000,0 days 00:00:35.619000,0 days 00:00:20.427000,0 days 00:24:20.183000,0 days 00:24:55.802000,0 days 00:25:16.229000,204.0,192.0,261.0,274.0,False,MEDIUM,7.0,True,0 days 00:24:00.209000,Ferrari,SAI,1,True,2022-05-27 12:09:01.143000,Practice 1
