,combiTyre,Train1,Train2,Train3,TimeT1,TimeT2,TimeT3,Total_time,TotalTimeStr
1,SSM,18,18,22,1479.7417384162898,1479.7417384162898,1825.3213269793935,4716.653941743008,1:18:36.653
0,SH,20,38,0,1648.028335483394,3174.8276307966703,0,4732.705104211099,1:18:52.705
