,Time,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,LapStartTime,Team,Driver,TrackStatus,IsAccurate,LapStartDate,Session
124,0 days 00:35:35.960000,23,0 days 00:01:35.805000,2.0,1.0,,,0 days 00:00:30.475000,0 days 00:00:41.446000,0 days 00:00:23.884000,0 days 00:34:30.630000,0 days 00:35:12.076000,0 days 00:35:35.960000,233.0,268.0,282.0,309.0,False,SOFT,2.0,True,0 days 00:34:00.155000,Williams,ALB,1,True,2022-03-19 12:19:19.776000,Practice 3
127,0 days 00:47:14.460000,23,0 days 00:01:36.064000,5.0,2.0,,,0 days 00:00:30.597000,0 days 00:00:41.468000,0 days 00:00:23.999000,0 days 00:46:08.993000,0 days 00:46:50.461000,0 days 00:47:14.460000,234.0,268.0,282.0,312.0,False,SOFT,6.0,False,0 days 00:45:38.396000,Williams,ALB,1,True,2022-03-19 12:30:58.017000,Practice 3
130,0 days 00:55:46.515000,23,0 days 00:01:34.868000,8.0,3.0,,,0 days 00:00:30.189000,0 days 00:00:40.906000,0 days 00:00:23.773000,0 days 00:54:41.836000,0 days 00:55:22.742000,0 days 00:55:46.515000,235.0,268.0,282.0,311.0,True,SOFT,3.0,True,0 days 00:54:11.647000,Williams,ALB,1,True,2022-03-19 12:39:31.268000,Practice 3
133,0 days 01:02:11.596000,23,0 days 00:01:35.353000,11.0,4.0,,,0 days 00:00:30.300000,0 days 00:00:41.199000,0 days 00:00:23.854000,0 days 01:01:06.543000,0 days 01:01:47.742000,0 days 01:02:11.596000,236.0,270.0,284.0,314.0,False,SOFT,6.0,False,0 days 01:00:36.243000,Williams,ALB,1,True,2022-03-19 12:45:55.864000,Practice 3
142,0 days 00:38:30.192000,20,0 days 00:01:34.263000,5.0,4.0,,,0 days 00:00:30.181000,0 days 00:00:40.532000,0 days 00:00:23.550000,0 days 00:37:26.110000,0 days 00:38:06.642000,0 days 00:38:30.192000,237.0,268.0,285.0,315.0,False,SOFT,3.0,True,0 days 00:36:55.929000,Haas F1 Team,MAG,1,True,2022-03-19 12:22:15.550000,Practice 3
148,0 days 01:11:49.593000,20,0 days 00:01:33.437000,11.0,5.0,,,0 days 00:00:29.768000,0 days 00:00:40.369000,0 days 00:00:23.300000,0 days 01:10:45.924000,0 days 01:11:26.293000,0 days 01:11:49.593000,238.0,268.0,288.0,317.0,True,SOFT,4.0,True,0 days 01:10:16.156000,Haas F1 Team,MAG,1,True,2022-03-19 12:55:35.777000,Practice 3
150,0 days 01:15:50.694000,20,0 days 00:01:33.881000,13.0,5.0,,,0 days 00:00:29.877000,0 days 00:00:40.301000,0 days 00:00:23.703000,0 days 01:14:46.690000,0 days 01:15:26.991000,0 days 01:15:50.694000,239.0,267.0,287.0,318.0,False,SOFT,6.0,True,0 days 01:14:16.813000,Haas F1 Team,MAG,1,True,2022-03-19 12:59:36.434000,Practice 3
154,0 days 00:35:50.158000,18,0 days 00:01:36.945000,2.0,1.0,,,0 days 00:00:30.706000,0 days 00:00:42.252000,0 days 00:00:23.987000,0 days 00:34:43.919000,0 days 00:35:26.171000,0 days 00:35:50.158000,234.0,265.0,277.0,305.0,False,MEDIUM,2.0,True,0 days 00:34:13.213000,Aston Martin,STR,1,True,2022-03-19 12:19:32.834000,Practice 3
157,0 days 00:41:41.215000,18,0 days 00:01:36.847000,5.0,1.0,,,0 days 00:00:30.837000,0 days 00:00:41.969000,0 days 00:00:24.041000,0 days 00:40:35.205000,0 days 00:41:17.174000,0 days 00:41:41.215000,234.0,263.0,278.0,309.0,False,MEDIUM,5.0,True,0 days 00:40:04.368000,Aston Martin,STR,2,True,2022-03-19 12:25:23.989000,Practice 3
161,0 days 01:08:47.729000,18,0 days 00:01:33.920000,9.0,3.0,,,0 days 00:00:29.867000,0 days 00:00:40.386000,0 days 00:00:23.667000,0 days 01:07:43.676000,0 days 01:08:24.062000,0 days 01:08:47.729000,238.0,267.0,277.0,308.0,True,SOFT,3.0,True,0 days 01:07:13.809000,Aston Martin,STR,1,True,2022-03-19 12:52:33.430000,Practice 3
164,0 days 01:15:06.805000,18,0 days 00:01:34.684000,12.0,3.0,,,0 days 00:00:30.371000,0 days 00:00:40.616000,0 days 00:00:23.697000,0 days 01:14:02.492000,0 days 01:14:43.108000,0 days 01:15:06.805000,237.0,264.0,279.0,305.0,False,SOFT,6.0,True,0 days 01:13:32.121000,Aston Martin,STR,1,True,2022-03-19 12:58:51.742000,Practice 3
168,0 days 00:33:12.348000,16,0 days 00:01:33.797000,2.0,1.0,,,0 days 00:00:29.989000,0 days 00:00:40.291000,0 days 00:00:23.517000,0 days 00:32:08.540000,0 days 00:32:48.831000,0 days 00:33:12.348000,236.0,267.0,281.0,311.0,False,SOFT,5.0,False,0 days 00:31:38.551000,Ferrari,LEC,1,True,2022-03-19 12:16:58.172000,Practice 3
174,0 days 01:00:54.523000,16,0 days 00:01:32.640000,8.0,3.0,,,0 days 00:00:29.668000,0 days 00:00:39.598000,0 days 00:00:23.374000,0 days 00:59:51.551000,0 days 01:00:31.149000,0 days 01:00:54.523000,238.0,268.0,279.0,311.0,True,SOFT,3.0,True,0 days 00:59:21.883000,Ferrari,LEC,1,True,2022-03-19 12:44:41.504000,Practice 3
178,0 days 01:09:13.754000,16,0 days 00:01:33.724000,12.0,4.0,,,0 days 00:00:30.103000,0 days 00:00:40.131000,0 days 00:00:23.490000,0 days 01:08:10.133000,0 days 01:08:50.264000,0 days 01:09:13.754000,236.0,268.0,281.0,311.0,False,SOFT,7.0,False,0 days 01:07:40.030000,Ferrari,LEC,1,True,2022-03-19 12:52:59.651000,Practice 3
184,0 days 00:38:01.319000,14,0 days 00:01:36.375000,2.0,1.0,,,0 days 00:00:31.015000,0 days 00:00:41.470000,0 days 00:00:23.890000,0 days 00:36:55.959000,0 days 00:37:37.429000,0 days 00:38:01.319000,232.0,263.0,282.0,313.0,False,HARD,2.0,True,0 days 00:36:24.944000,Alpine,ALO,1,True,2022-03-19 12:21:44.565000,Practice 3
186,0 days 00:41:23.392000,14,0 days 00:01:36.634000,4.0,1.0,,,0 days 00:00:30.744000,0 days 00:00:42.013000,0 days 00:00:23.877000,0 days 00:40:17.502000,0 days 00:40:59.515000,0 days 00:41:23.392000,232.0,260.0,281.0,315.0,False,HARD,4.0,True,0 days 00:39:46.758000,Alpine,ALO,2,True,2022-03-19 12:25:06.379000,Practice 3
188,0 days 00:44:49.495000,14,0 days 00:01:36.812000,6.0,1.0,,,0 days 00:00:30.862000,0 days 00:00:41.608000,0 days 00:00:24.342000,0 days 00:43:43.545000,0 days 00:44:25.153000,0 days 00:44:49.495000,231.0,263.0,271.0,316.0,False,HARD,6.0,True,0 days 00:43:12.683000,Alpine,ALO,1,True,2022-03-19 12:28:32.304000,Practice 3
191,0 days 01:05:32.211000,14,0 days 00:01:34.628000,9.0,2.0,,,0 days 00:00:30.202000,0 days 00:00:40.870000,0 days 00:00:23.556000,0 days 01:04:27.785000,0 days 01:05:08.655000,0 days 01:05:32.211000,237.0,267.0,284.0,318.0,True,MEDIUM,3.0,True,0 days 01:03:57.583000,Alpine,ALO,1,True,2022-03-19 12:49:17.204000,Practice 3
199,0 days 00:34:50.206000,11,0 days 00:01:34.160000,2.0,1.0,,,0 days 00:00:29.994000,0 days 00:00:40.692000,0 days 00:00:23.474000,0 days 00:33:46.040000,0 days 00:34:26.732000,0 days 00:34:50.206000,236.0,268.0,286.0,319.0,False,SOFT,2.0,True,0 days 00:33:16.046000,Red Bull Racing,PER,1,True,2022-03-19 12:18:35.667000,Practice 3
202,0 days 00:41:49.990000,11,0 days 00:01:34.346000,5.0,2.0,,,0 days 00:00:30.087000,0 days 00:00:40.521000,0 days 00:00:23.738000,0 days 00:40:45.731000,0 days 00:41:26.252000,0 days 00:41:49.990000,234.0,267.0,281.0,317.0,False,SOFT,6.0,False,0 days 00:40:15.644000,Red Bull Racing,PER,2,True,2022-03-19 12:25:35.265000,Practice 3
205,0 days 00:47:47.666000,11,0 days 00:01:35.796000,8.0,3.0,,,0 days 00:00:30.748000,0 days 00:00:41.267000,0 days 00:00:23.781000,0 days 00:46:42.618000,0 days 00:47:23.885000,0 days 00:47:47.666000,234.0,262.0,276.0,298.0,False,SOFT,9.0,False,0 days 00:46:11.870000,Red Bull Racing,PER,1,True,2022-03-19 12:31:31.491000,Practice 3
206,0 days 00:49:23.781000,11,0 days 00:01:36.115000,9.0,3.0,,,0 days 00:00:30.934000,0 days 00:00:41.315000,0 days 00:00:23.866000,0 days 00:48:18.600000,0 days 00:48:59.915000,0 days 00:49:23.781000,235.0,264.0,275.0,292.0,False,SOFT,10.0,False,0 days 00:47:47.666000,Red Bull Racing,PER,1,True,2022-03-19 12:33:07.287000,Practice 3
207,0 days 00:51:00.036000,11,0 days 00:01:36.255000,10.0,3.0,,,0 days 00:00:30.967000,0 days 00:00:41.519000,0 days 00:00:23.769000,0 days 00:49:54.748000,0 days 00:50:36.267000,0 days 00:51:00.036000,,264.0,275.0,295.0,False,SOFT,11.0,False,0 days 00:49:23.781000,Red Bull Racing,PER,1,True,2022-03-19 12:34:43.402000,Practice 3
208,0 days 00:52:36.341000,11,0 days 00:01:36.305000,11.0,3.0,,,0 days 00:00:30.947000,0 days 00:00:41.517000,0 days 00:00:23.841000,0 days 00:51:30.983000,0 days 00:52:12.500000,0 days 00:52:36.341000,236.0,262.0,276.0,297.0,False,SOFT,12.0,False,0 days 00:51:00.036000,Red Bull Racing,PER,1,True,2022-03-19 12:36:19.657000,Practice 3
211,0 days 01:06:18.125000,11,0 days 00:01:32.791000,14.0,4.0,,,0 days 00:00:29.574000,0 days 00:00:40.083000,0 days 00:00:23.134000,0 days 01:05:14.908000,0 days 01:05:54.991000,0 days 01:06:18.125000,236.0,268.0,287.0,320.0,True,SOFT,3.0,True,0 days 01:04:45.334000,Red Bull Racing,PER,1,True,2022-03-19 12:50:04.955000,Practice 3
214,0 days 01:12:36.489000,11,0 days 00:01:33.222000,17.0,4.0,,,0 days 00:00:29.904000,0 days 00:00:40.057000,0 days 00:00:23.261000,0 days 01:11:33.171000,0 days 01:12:13.228000,0 days 01:12:36.489000,236.0,268.0,287.0,318.0,False,SOFT,6.0,True,0 days 01:11:03.267000,Red Bull Racing,PER,1,True,2022-03-19 12:56:22.888000,Practice 3
219,0 days 00:35:17.491000,10,0 days 00:01:36.805000,2.0,1.0,,,0 days 00:00:30.939000,0 days 00:00:41.748000,0 days 00:00:24.118000,0 days 00:34:11.625000,0 days 00:34:53.373000,0 days 00:35:17.491000,231.0,265.0,281.0,310.0,False,MEDIUM,2.0,True,0 days 00:33:40.686000,AlphaTauri,GAS,1,True,2022-03-19 12:19:00.307000,Practice 3
221,0 days 00:39:10.934000,10,0 days 00:01:36.374000,4.0,1.0,,,0 days 00:00:30.659000,0 days 00:00:41.858000,0 days 00:00:23.857000,0 days 00:38:05.219000,0 days 00:38:47.077000,0 days 00:39:10.934000,232.0,266.0,283.0,314.0,False,MEDIUM,4.0,True,0 days 00:37:34.560000,AlphaTauri,GAS,1,True,2022-03-19 12:22:54.181000,Practice 3
223,0 days 00:43:00.299000,10,0 days 00:01:36.088000,6.0,1.0,,,0 days 00:00:30.440000,0 days 00:00:41.633000,0 days 00:00:24.015000,0 days 00:41:54.651000,0 days 00:42:36.284000,0 days 00:43:00.299000,235.0,263.0,283.0,317.0,False,MEDIUM,6.0,True,0 days 00:41:24.211000,AlphaTauri,GAS,1,True,2022-03-19 12:26:43.832000,Practice 3
