,Lap,Tyre,LapTimeSeconds,DeltaDeg,FuelDeg,AdjustedTime,FinalLapTime,TimeStr
0,1,SOFT,83.805,0.28375,0.05555555555555556,84.08875,84.03319444444445,01:24.033
1,2,SOFT,83.805,0.32205625,0.11111111111111112,84.12705625000001,84.0159451388889,01:24.015
2,3,SOFT,83.805,0.36553384375,0.16666666666666669,84.17053384375001,84.00386717708334,01:24.003
3,4,SOFT,83.805,0.41488091265625,0.22222222222222224,84.21988091265625,83.99765869043402,01:23.997
4,5,SOFT,83.805,0.47088983586484373,0.2777777777777778,84.27588983586485,83.99811205808707,01:23.998
5,6,SOFT,83.805,0.5344599637065977,0.33333333333333337,84.3394599637066,84.00612663037327,01:24.006
6,7,SOFT,83.805,0.6066120588069883,0.3888888888888889,84.411612058807,84.02272316991811,01:24.022
7,8,SOFT,83.805,0.6885046867459318,0.4444444444444445,84.49350468674594,84.0490602423015,01:24.049
8,9,SOFT,83.805,0.7814528194566326,0.5,84.58645281945664,84.08645281945664,01:24.086
9,10,SOFT,83.805,0.886948950083278,0.5555555555555556,84.69194895008329,84.13639339452773,01:24.136
10,11,SOFT,83.805,1.0066870583445207,0.6111111111111112,84.81168705834453,84.20057594723342,01:24.200
11,12,SOFT,83.805,1.1425898112210309,0.6666666666666667,84.94758981122104,84.28092314455436,01:24.280
12,13,SOFT,83.805,1.2968394357358701,0.7222222222222223,85.10183943573588,84.37961721351365,01:24.379
13,14,SOFT,83.805,1.4719127595602126,0.7777777777777778,85.27691275956022,84.49913498178245,01:24.499
14,15,SOFT,83.805,1.6706209821008413,0.8333333333333334,85.47562098210085,84.64228764876752,01:24.642
15,16,SOFT,83.805,1.896154814684455,0.888888888888889,85.70115481468446,84.81226592579557,01:24.812
16,17,SOFT,83.805,2.1521357146668563,0.9444444444444445,85.95713571466686,85.01269127022242,01:25.012
17,18,SOFT,83.805,2.4426740361468817,1.0,86.24767403614689,85.24767403614689,01:25.247
18,19,SOFT,83.805,2.7724350310267107,1.0555555555555556,86.57743503102672,85.52187947547117,01:25.521
19,20,SOFT,83.805,3.1467137602153166,1.1111111111111112,86.95171376021533,85.84060264910421,01:25.840
20,21,SOFT,83.805,3.5715201178443845,1.1666666666666667,87.3765201178444,86.20985345117772,01:26.209
21,22,SOFT,83.805,4.053675333753376,1.2222222222222223,87.85867533375338,86.63645311153115,01:26.636
22,23,SOFT,83.805,4.600921503810082,1.277777777777778,88.40592150381009,87.12814372603232,01:27.128
23,24,SOFT,83.805,5.222045906824444,1.3333333333333335,89.02704590682445,87.69371257349113,01:27.693
24,25,SOFT,83.805,5.927022104245744,1.388888888888889,89.73202210424574,88.34313321535686,01:28.343
25,26,SOFT,83.805,6.727170088318919,1.4444444444444446,90.53217008831892,89.08772564387448,01:29.087
26,27,SOFT,83.805,7.635338050241973,1.5,91.44033805024198,89.94033805024198,01:29.940
27,28,SOFT,83.805,8.66610868702464,1.5555555555555556,92.47110868702464,90.91555313146908,01:30.915
28,29,SOFT,83.805,9.836033359772966,1.6111111111111112,93.64103335977298,92.02992224866186,01:32.029
29,30,SOFT,83.805,11.163897863342315,1.6666666666666667,94.96889786334232,93.30223119667565,01:33.302
30,31,SOFT,83.805,12.671024074893529,1.7222222222222223,96.47602407489353,94.7538018526713,01:34.753
31,32,SOFT,83.805,14.381612325004156,1.777777777777778,98.18661232500416,96.40883454722639,01:36.408
32,33,SOFT,83.805,16.323129988879717,1.8333333333333335,100.12812998887972,98.29479665554639,01:38.294
33,34,SOFT,83.805,18.526752537378478,1.888888888888889,102.33175253737849,100.4428636484896,01:40.442
34,35,SOFT,83.805,21.027864129924573,1.9444444444444446,104.83286412992459,102.88841968548014,01:42.888
35,36,SOFT,83.805,23.86662578746439,2.0,107.6716257874644,105.6716257874644,01:45.671
36,37,SOFT,83.805,27.088620268772083,2.055555555555556,110.89362026877208,108.83806471321653,01:48.838
37,38,SOFT,83.805,30.745584005056315,2.111111111111111,114.55058400505632,112.43947289394521,01:52.439
38,39,SOFT,83.805,34.896237845738916,2.166666666666667,118.70123784573892,116.53457117907224,01:56.534
39,40,SOFT,83.805,39.60722995491367,2.2222222222222223,123.41222995491367,121.19000773269144,02:01.190
40,41,SOFT,83.805,44.954205998827014,2.277777777777778,128.759205998827,126.48142822104924,02:06.481
41,42,SOFT,83.805,51.02302380866866,2.3333333333333335,134.82802380866866,132.49469047533532,02:12.494
42,43,SOFT,83.805,57.91113202283893,2.388888888888889,141.71613202283893,139.32724313395005,02:19.327
43,44,SOFT,83.805,65.72913484592219,2.4444444444444446,149.5341348459222,147.08969040147775,02:27.089
44,45,SOFT,83.805,74.60256805012169,2.5,158.4075680501217,155.9075680501217,02:35.907
45,46,SOFT,83.805,84.67391473688812,2.555555555555556,168.47891473688813,165.9233591813326,02:45.923
46,47,SOFT,83.805,96.10489322636802,2.611111111111111,179.909893226368,177.2987821152569,02:57.298
47,48,SOFT,83.805,109.07905381192771,2.666666666666667,192.8840538119277,190.21738714526106,03:10.217
48,49,SOFT,83.805,123.80472607653795,2.7222222222222223,207.60972607653795,204.88750385431572,03:24.887
49,50,SOFT,83.805,140.51836409687056,2.777777777777778,224.32336409687056,221.5455863190928,03:41.545
50,51,SOFT,83.805,159.4883432499481,2.8333333333333335,243.2933432499481,240.46000991661475,04:00.460
51,52,SOFT,83.805,181.0192695886911,2.8888888888888893,264.8242695886911,261.9353806998022,04:21.935
52,53,SOFT,83.805,205.45687098316438,2.9444444444444446,289.2618709831644,286.31742653871993,04:46.317
53,54,SOFT,83.805,233.19354856589158,3.0,316.9985485658916,313.9985485658916,05:13.998
54,55,SOFT,83.805,264.67467762228694,3.055555555555556,348.47967762228694,345.4241220667314,05:45.424
55,56,SOFT,83.805,300.4057591012957,3.111111111111111,384.2107591012957,381.0996479901846,06:21.099
56,57,SOFT,83.805,340.9605365799706,3.166666666666667,424.7655365799706,421.59886991330393,07:01.598
57,58,SOFT,83.805,386.9902090182666,3.2222222222222223,470.79520901826663,467.5729867960444,07:47.572
58,59,SOFT,83.805,439.2338872357326,3.277777777777778,523.0388872357325,519.7611094579547,08:39.761
59,60,SOFT,83.805,498.5304620125565,3.3333333333333335,582.3354620125565,579.0021286792231,09:39.002
60,61,SOFT,83.805,565.8320743842517,3.3888888888888893,649.6370743842517,646.2481854953628,10:46.248
61,62,SOFT,83.805,642.2194044261256,3.4444444444444446,726.0244044261256,722.5799599816811,12:02.579
62,63,SOFT,83.805,728.9190240236526,3.5000000000000004,812.7240240236526,809.2240240236526,13:29.224
0,1,MEDIUM,84.199983501,0.16424999999999998,0.05555555555555556,84.364233501,84.30867794544444,01:24.308
1,2,MEDIUM,84.199983501,0.17985374999999998,0.11111111111111112,84.37983725100001,84.2687261398889,01:24.268
2,3,MEDIUM,84.199983501,0.19693985624999996,0.16666666666666669,84.39692335725,84.23025669058333,01:24.230
3,4,MEDIUM,84.199983501,0.21564914259374995,0.22222222222222224,84.41563264359375,84.19341042137152,01:24.193
4,5,MEDIUM,84.199983501,0.2361358111401562,0.2777777777777778,84.43611931214016,84.15834153436239,01:24.158
5,6,MEDIUM,84.199983501,0.258568713198471,0.33333333333333337,84.45855221419848,84.12521888086515,01:24.125
6,7,MEDIUM,84.199983501,0.28313274095232577,0.3888888888888889,84.48311624195233,84.09422735306345,01:24.094
7,8,MEDIUM,84.199983501,0.3100303513427967,0.4444444444444445,84.51001385234281,84.06556940789837,01:24.065
8,9,MEDIUM,84.199983501,0.3394832347203624,0.5,84.53946673572037,84.03946673572037,01:24.039
9,10,MEDIUM,84.199983501,0.37173414201879684,0.5555555555555556,84.5717176430188,84.01616208746324,01:24.016
10,11,MEDIUM,84.199983501,0.40704888551058255,0.6111111111111112,84.60703238651058,83.99592127539947,01:23.995
11,12,MEDIUM,84.199983501,0.44571852963408787,0.6666666666666667,84.6457020306341,83.97903536396743,01:23.979
12,13,MEDIUM,84.199983501,0.4880617899493262,0.7222222222222223,84.68804529094933,83.9658230687271,01:23.965
13,14,MEDIUM,84.199983501,0.5344276599945121,0.7777777777777778,84.73441116099451,83.95663338321674,01:23.956
14,15,MEDIUM,84.199983501,0.5851982876939907,0.8333333333333334,84.78518178869399,83.95184845536066,01:23.951
15,16,MEDIUM,84.199983501,0.6407921250249199,0.888888888888889,84.84077562602492,83.95188673713604,01:23.951
16,17,MEDIUM,84.199983501,0.7016673769022873,0.9444444444444445,84.9016508779023,83.95720643345786,01:23.957
17,18,MEDIUM,84.199983501,0.7683257777080046,1.0,84.968309278708,83.968309278708,01:23.968
18,19,MEDIUM,84.199983501,0.841316726590265,1.0555555555555556,85.04130022759027,83.98574467203471,01:23.985
19,20,MEDIUM,84.199983501,0.9212418156163402,1.1111111111111112,85.12122531661635,84.01011420550523,01:24.010
20,21,MEDIUM,84.199983501,1.0087597880998924,1.1666666666666667,85.2087432890999,84.04207662243323,01:24.042
21,22,MEDIUM,84.199983501,1.104591967969382,1.2222222222222223,85.30457546896939,84.08235324674716,01:24.082
22,23,MEDIUM,84.199983501,1.2095282049264733,1.277777777777778,85.40951170592648,84.1317339281487,01:24.131
23,24,MEDIUM,84.199983501,1.3244333843944882,1.3333333333333335,85.52441688539449,84.19108355206116,01:24.191
24,25,MEDIUM,84.199983501,1.4502545559119646,1.388888888888889,85.65023805691197,84.26134916802309,01:24.261
25,26,MEDIUM,84.199983501,1.5880287387236012,1.4444444444444446,85.78801223972361,84.34356779527917,01:24.343
26,27,MEDIUM,84.199983501,1.7388914689023431,1.5,85.93887496990234,84.43887496990234,01:24.438
27,28,MEDIUM,84.199983501,1.9040861584480657,1.5555555555555556,86.10406965944807,84.54851410389251,01:24.548
28,29,MEDIUM,84.199983501,2.084974343500632,1.6111111111111112,86.28495784450064,84.67384673338952,01:24.673
29,30,MEDIUM,84.199983501,2.2830469061331917,1.6666666666666667,86.4830304071332,84.81636374046653,01:24.816
30,31,MEDIUM,84.199983501,2.499936362215845,1.7222222222222223,86.69991986321585,84.97769764099363,01:24.977
31,32,MEDIUM,84.199983501,2.73743031662635,1.777777777777778,86.93741381762635,85.15963603984858,01:25.159
32,33,MEDIUM,84.199983501,2.997486196705853,1.8333333333333335,87.19746969770586,85.36413636437253,01:25.364
33,34,MEDIUM,84.199983501,3.2822473853929086,1.888888888888889,87.48223088639291,85.59334199750403,01:25.593
34,35,MEDIUM,84.199983501,3.594060887005235,1.9444444444444446,87.79404438800525,85.8495999435608,01:25.849
35,36,MEDIUM,84.199983501,3.935496671270732,2.0,88.13548017227073,86.13548017227073,01:26.135
36,37,MEDIUM,84.199983501,4.309368855041451,2.055555555555556,88.50935235604146,86.4537968004859,01:26.453
37,38,MEDIUM,84.199983501,4.718758896270389,2.111111111111111,88.91874239727039,86.80763128615928,01:26.807
38,39,MEDIUM,84.199983501,5.1670409914160755,2.166666666666667,89.36702449241608,87.2003578257494,01:27.200
39,40,MEDIUM,84.199983501,5.657909885600603,2.2222222222222223,89.85789338660061,87.63567116437838,01:27.635
40,41,MEDIUM,84.199983501,6.195411324732659,2.277777777777778,90.39539482573267,88.1176170479549,01:28.117
41,42,MEDIUM,84.199983501,6.783975400582262,2.3333333333333335,90.98395890158227,88.65062556824894,01:28.650
42,43,MEDIUM,84.199983501,7.428453063637577,2.388888888888889,91.62843656463758,89.2395476757487,01:29.239
43,44,MEDIUM,84.199983501,8.134156104683147,2.4444444444444446,92.33413960568315,89.8896951612387,01:29.889
44,45,MEDIUM,84.199983501,8.906900934628045,2.5,93.10688443562805,90.60688443562805,01:30.606
45,46,MEDIUM,84.199983501,9.753056523417708,2.555555555555556,93.95304002441772,91.39748446886216,01:31.397
46,47,MEDIUM,84.199983501,10.67959689314239,2.611111111111111,94.8795803941424,92.26846928303128,01:32.268
47,48,MEDIUM,84.199983501,11.694158597990917,2.666666666666667,95.89414209899093,93.22747543232425,01:33.227
48,49,MEDIUM,84.199983501,12.805103664800054,2.7222222222222223,97.00508716580006,94.28286494357783,01:34.282
49,50,MEDIUM,84.199983501,14.02158851295606,2.777777777777778,98.22157201395606,95.44379423617829,01:35.443
50,51,MEDIUM,84.199983501,15.353639421686884,2.8333333333333335,99.55362292268688,96.72028958935356,01:36.720
51,52,MEDIUM,84.199983501,16.812235166747136,2.8888888888888893,101.01221866774713,98.12332977885825,01:38.123
52,53,MEDIUM,84.199983501,18.409397507588114,2.9444444444444446,102.60938100858812,99.66493656414367,01:39.664
53,54,MEDIUM,84.199983501,20.158290270808983,3.0,104.358273771809,101.358273771809,01:41.358
54,55,MEDIUM,84.199983501,22.073327846535836,3.055555555555556,106.27331134753584,103.21775579198028,01:43.217
55,56,MEDIUM,84.199983501,24.17029399195674,3.111111111111111,108.37027749295675,105.25916638184563,01:45.259
56,57,MEDIUM,84.199983501,26.46647192119263,3.166666666666667,110.66645542219263,107.49978875552596,01:47.499
57,58,MEDIUM,84.199983501,28.980786753705928,3.2222222222222223,113.18077025470593,109.9585480324837,01:49.958
58,59,MEDIUM,84.199983501,31.73396149530799,3.277777777777778,115.933944996308,112.65616721853023,01:52.656
59,60,MEDIUM,84.199983501,34.74868783736225,3.3333333333333335,118.94867133836226,115.61533800502893,01:55.615
60,61,MEDIUM,84.199983501,38.04981318191166,3.3888888888888893,122.24979668291166,118.86090779402278,01:58.860
61,62,MEDIUM,84.199983501,41.664545434193265,3.4444444444444446,125.86452893519328,122.42008449074883,02:02.420
62,63,MEDIUM,84.199983501,45.622677250441626,3.5000000000000004,129.82266075144162,126.32266075144162,02:06.322
0,1,HARD,84.590142591,0.15974999999999998,0.05555555555555556,84.749892591,84.69433703544445,01:24.694
1,2,HARD,84.590142591,0.17013374999999997,0.11111111111111112,84.76027634100001,84.6491652298889,01:24.649
2,3,HARD,84.590142591,0.18119244374999996,0.16666666666666669,84.77133503475001,84.60466836808334,01:24.604
3,4,HARD,84.590142591,0.19296995259374994,0.22222222222222224,84.78311254359376,84.56089032137153,01:24.560
4,5,HARD,84.590142591,0.20551299951234367,0.2777777777777778,84.79565559051234,84.51787781273457,01:24.517
5,6,HARD,84.590142591,0.218871344480646,0.33333333333333337,84.80901393548065,84.47568060214732,01:24.475
6,7,HARD,84.590142591,0.23309798187188796,0.3888888888888889,84.8232405728719,84.43435168398301,01:24.434
7,8,HARD,84.590142591,0.24824935069356066,0.4444444444444445,84.83839194169356,84.39394749724912,01:24.393
8,9,HARD,84.590142591,0.2643855584886421,0.5,84.85452814948864,84.35452814948864,01:24.354
9,10,HARD,84.590142591,0.2815706197904038,0.5555555555555556,84.8717132107904,84.31615765523485,01:24.316
10,11,HARD,84.590142591,0.29987271007678007,0.6111111111111112,84.89001530107679,84.27890418996567,01:24.278
11,12,HARD,84.590142591,0.31936443623177074,0.6666666666666667,84.90950702723177,84.2428403605651,01:24.242
12,13,HARD,84.590142591,0.3401231245868358,0.7222222222222223,84.93026571558684,84.20804349336461,01:24.208
13,14,HARD,84.590142591,0.3622311276849801,0.7777777777777778,84.95237371868498,84.17459594090721,01:24.174
14,15,HARD,84.590142591,0.3857761509845038,0.8333333333333334,84.9759187419845,84.14258540865117,01:24.142
15,16,HARD,84.590142591,0.41085160079849653,0.888888888888889,85.0009941917985,84.11210530290961,01:24.112
16,17,HARD,84.590142591,0.4375569548503988,0.9444444444444445,85.0276995458504,84.08325510140595,01:24.083
17,18,HARD,84.590142591,0.4659981569156747,1.0,85.05614074791568,84.05614074791568,01:24.056
18,19,HARD,84.590142591,0.49628803711519354,1.0555555555555556,85.0864306281152,84.03087507255964,01:24.030
19,20,HARD,84.590142591,0.528546759527681,1.1111111111111112,85.11868935052769,84.00757823941657,01:24.007
20,21,HARD,84.590142591,0.5629022988969803,1.1666666666666667,85.15304488989699,83.98637822323032,01:23.986
21,22,HARD,84.590142591,0.5994909483252839,1.2222222222222223,85.18963353932529,83.96741131710306,01:23.967
22,23,HARD,84.590142591,0.6384578599664273,1.277777777777778,85.22860045096643,83.95082267318865,01:23.950
23,24,HARD,84.590142591,0.679957620864245,1.3333333333333335,85.27010021186425,83.93676687853092,01:23.936
24,25,HARD,84.590142591,0.7241548662204209,1.388888888888889,85.31429745722042,83.92540856833153,01:23.925
25,26,HARD,84.590142591,0.7712249325247482,1.4444444444444446,85.36136752352475,83.9169230790803,01:23.916
26,27,HARD,84.590142591,0.8213545531388569,1.5,85.41149714413886,83.91149714413886,01:23.911
27,28,HARD,84.590142591,0.8747425990928825,1.5555555555555556,85.46488519009289,83.90932963453733,01:23.909
28,29,HARD,84.590142591,0.9316008680339198,1.6111111111111112,85.52174345903393,83.91063234792281,01:23.910
29,30,HARD,84.590142591,0.9921549244561246,1.6666666666666667,85.58229751545613,83.91563084878946,01:23.915
30,31,HARD,84.590142591,1.0566449945457728,1.7222222222222223,85.64678758554578,83.92456536332355,01:23.924
31,32,HARD,84.590142591,1.1253269191912478,1.777777777777778,85.71546951019126,83.93769173241348,01:23.937
32,33,HARD,84.590142591,1.198473168938679,1.8333333333333335,85.78861575993868,83.95528242660535,01:23.955
33,34,HARD,84.590142591,1.276373924919693,1.888888888888889,85.8665165159197,83.97762762703081,01:23.977
34,35,HARD,84.590142591,1.359338230039473,1.9444444444444446,85.94948082103947,84.00503637659503,01:24.005
35,36,HARD,84.590142591,1.4476952149920386,2.0,86.03783780599204,84.03783780599204,01:24.037
36,37,HARD,84.590142591,1.541795403966521,2.055555555555556,86.13193799496652,84.07638243941096,01:24.076
37,38,HARD,84.590142591,1.6420121052243446,2.111111111111111,86.23215469622434,84.12104358511323,01:24.121
38,39,HARD,84.590142591,1.748742892063927,2.166666666666667,86.33888548306393,84.17221881639726,01:24.172
39,40,HARD,84.590142591,1.862411180048082,2.2222222222222223,86.45255377104809,84.23033154882586,01:24.230
40,41,HARD,84.590142591,1.9834679067512073,2.277777777777778,86.5736104977512,84.29583271997343,01:24.295
41,42,HARD,84.590142591,2.112393320690036,2.3333333333333335,86.70253591169003,84.3692025783567,01:24.369
42,43,HARD,84.590142591,2.249698886534888,2.388888888888889,86.83984147753489,84.450952588646,01:24.450
43,44,HARD,84.590142591,2.395929314159656,2.4444444444444446,86.98607190515966,84.54162746071522,01:24.541
44,45,HARD,84.590142591,2.5516647195800335,2.5,87.14180731058003,84.64180731058003,01:24.641
45,46,HARD,84.590142591,2.7175229263527356,2.555555555555556,87.30766551735275,84.75210996179719,01:24.752
46,47,HARD,84.590142591,2.8941619165656634,2.611111111111111,87.48430450756567,84.87319339645455,01:24.873
47,48,HARD,84.590142591,3.082282441142431,2.666666666666667,87.67242503214243,85.00575836547576,01:25.005
48,49,HARD,84.590142591,3.282630799816689,2.7222222222222223,87.87277339081669,85.15055116859446,01:25.150
49,50,HARD,84.590142591,3.496001801804774,2.777777777777778,88.08614439280478,85.30836661502701,01:25.308
50,51,HARD,84.590142591,3.723241918922084,2.8333333333333335,88.31338450992209,85.48005117658876,01:25.480
51,52,HARD,84.590142591,3.9652526436520192,2.8888888888888893,88.55539523465202,85.66650634576314,01:25.666
52,53,HARD,84.590142591,4.2229940654894005,2.9444444444444446,88.8131366564894,85.86869221204496,01:25.868
53,54,HARD,84.590142591,4.497488679746211,3.0,89.08763127074621,86.08763127074621,01:26.087
54,55,HARD,84.590142591,4.789825443929715,3.055555555555556,89.37996803492972,86.32441247937416,01:26.324
55,56,HARD,84.590142591,5.101164097785146,3.111111111111111,89.69130668878515,86.58019557767403,01:26.580
56,57,HARD,84.590142591,5.43273976414118,3.166666666666667,90.02288235514118,86.8562156884745,01:26.856
57,58,HARD,84.590142591,5.785867848810357,3.2222222222222223,90.37601043981036,87.15378821758813,01:27.153
58,59,HARD,84.590142591,6.16194925898303,3.277777777777778,90.75209184998303,87.47431407220526,01:27.474
59,60,HARD,84.590142591,6.5624759608169265,3.3333333333333335,91.15261855181693,87.8192852184836,01:27.819
60,61,HARD,84.590142591,6.989036898270027,3.3888888888888893,91.57917948927003,88.19029060038115,01:28.190
61,62,HARD,84.590142591,7.443324296657578,3.4444444444444446,92.03346688765758,88.58902244321314,01:28.589
62,63,HARD,84.590142591,7.92714037594032,3.5000000000000004,92.51728296694033,89.01728296694033,01:29.017
